filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
smartbugs-dataset/other/crypto_roulette.sol,crypto_roulette.sol,confuzzius,solidity,2022/12/31,20241215_1605,1734281146.619699,1999.3484723567963,0,"{Assertion_Failure,Block_Dependency}",{},{},{}
smartbugs-dataset/other/name_registrar.sol,name_registrar.sol,confuzzius,solidity,2022/12/31,20241215_1605,1734279074.521013,2000.7153162956238,0,{},{},{},{}
smartbugs-dataset/other/open_address_lottery.sol,open_address_lottery.sol,confuzzius,solidity,2022/12/31,20241215_1605,1734281096.9922245,2002.5883526802063,0,"{Block_Dependency,Integer_Overflow,Transaction_Order_Dependency}",{},{},{}
smartbugs-dataset/other/crypto_roulette.sol,crypto_roulette.sol,conkas,solidity,2022/11/11,20241215_1605,1734278771.5667033,17.745550870895386,0,"{Integer_Overflow,Integer_Underflow,Reentrancy,Time_Manipulation}",{},{},{}
smartbugs-dataset/other/name_registrar.sol,name_registrar.sol,conkas,solidity,2022/11/11,20241215_1605,1734281194.4603903,7.6018548011779785,0,{},{},{},{}
smartbugs-dataset/other/open_address_lottery.sol,open_address_lottery.sol,conkas,solidity,2022/11/11,20241215_1605,1734280978.2298017,118.76149988174438,0,"{Integer_Overflow,Integer_Underflow,Time_Manipulation}",{},{},{}
smartbugs-dataset/other/crypto_roulette.sol,crypto_roulette.sol,honeybadger,solidity,2023/02/27,20241215_1605,1734278754.5436873,14.610996723175049,0,"{Money_flow,Uninitialised_struct}",{},{},{}
smartbugs-dataset/other/name_registrar.sol,name_registrar.sol,honeybadger,solidity,2023/02/27,20241215_1605,1734281138.4080513,8.210355043411255,0,{},{},{},{}
smartbugs-dataset/other/open_address_lottery.sol,open_address_lottery.sol,honeybadger,solidity,2023/02/27,20241215_1605,1734281031.1799128,27.98500394821167,0,"{Money_flow,Uninitialised_struct}",{},{},{}
smartbugs-dataset/other/crypto_roulette.sol,crypto_roulette.sol,maian,solidity,2022/11/11,20241215_1605,1734278897.1579726,110.18764019012451,0,{},{},{},{}
smartbugs-dataset/other/name_registrar.sol,name_registrar.sol,maian,solidity,2022/11/11,20241215_1605,1734278776.2025218,75.18648362159729,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
smartbugs-dataset/other/open_address_lottery.sol,open_address_lottery.sol,maian,solidity,2022/11/11,20241215_1605,1734281202.0634315,75.08501625061035,0,{},{},{},{}
smartbugs-dataset/other/crypto_roulette.sol,crypto_roulette.sol,manticore-0.3.7,solidity,2022/11/17,20241215_1605,1734280910.5099535,120.66833639144897,0,{},{},{},"{exception (manticore.core.state.Concretize),exception (manticore.exceptions.ManticoreError: Forking on unfeasible constraint set)}"
smartbugs-dataset/other/name_registrar.sol,name_registrar.sol,manticore-0.3.7,solidity,2022/11/17,20241215_1605,1734278851.3903635,222.97593712806702,0,{},{},{},"{exception (manticore.core.state.Concretize),exception (manticore.exceptions.ManticoreError: Forking on unfeasible constraint set)}"
smartbugs-dataset/other/open_address_lottery.sol,open_address_lottery.sol,manticore-0.3.7,solidity,2022/11/17,20241215_1605,1734278754.493346,149.08630442619324,0,{},{},{},{}
smartbugs-dataset/other/crypto_roulette.sol,crypto_roulette.sol,mythril-0.24.7,solidity,2024/03/24,20241215_1605,1734281075.241103,97.24815702438354,1,"{Dependence_on_predictable_environment_variable_SWC_116,Exception_State_SWC_110,Integer_Arithmetic_Bugs_SWC_101}",{},{},{}
smartbugs-dataset/other/name_registrar.sol,name_registrar.sol,mythril-0.24.7,solidity,2024/03/24,20241215_1605,1734278819.1102717,39.37387752532959,0,{},{},{},{}
smartbugs-dataset/other/open_address_lottery.sol,open_address_lottery.sol,mythril-0.24.7,solidity,2024/03/24,20241215_1605,1734279007.3466341,1617.5212392807007,1,"{Dependence_on_predictable_environment_variable_SWC_120,Integer_Arithmetic_Bugs_SWC_101}",{},{},{}
smartbugs-dataset/other/crypto_roulette.sol,crypto_roulette.sol,osiris,solidity,2023/02/27,20241215_1605,1734281066.242787,14.028225898742676,0,"{Concurrency_bug,Overflow_bugs}",{},{},{}
